K,lambda_cost,lambda_safety,noise_sigma,score_mean,score_std,stability_jaccard_mean,stability_jaccard_std,n_runs
9,2.0,1.0,0.05,26.99999999813561,1.476080200913057e-10,0.10833333333333334,0.08249579113843056,3
9,2.0,0.5,0.05,26.99999999828123,1.15564564934135e-10,0.10833333333333334,0.08249579113843056,3
12,0.5,2.0,0.1,-4.134211776796814e-09,1.0392764582942937e-10,0.10730994152046781,0.04765095151330977,3
12,0.5,2.0,0.05,-2.067105925405841e-09,5.1963954236013947e-11,0.10730994152046781,0.04765095151330977,3
12,2.0,2.0,0.1,35.99999999453075,3.618922214673893e-10,0.10730994152046781,0.04765095151330977,3
12,2.0,2.0,0.05,35.99999999726537,1.8094731289905328e-10,0.10730994152046781,0.04765095151330977,3
12,0.5,0.5,0.1,-2.21353083141042e-09,1.8414812591280068e-10,0.10526315789473684,0.0,3
12,0.5,0.5,0.05,-1.1067652676754735e-09,9.207385132551593e-11,0.10526315789473684,0.0,3
9,0.5,1.0,0.1,-2.2972373556460662e-09,1.4363070295055155e-10,0.10294117647058824,0.031195887405288864,3
9,0.5,0.5,0.1,-1.8443761780736324e-09,1.696300370041442e-10,0.10294117647058824,0.031195887405288864,3
9,0.5,1.0,0.05,-1.1486185482970136e-09,7.181510256271958e-11,0.10294117647058824,0.031195887405288864,3
9,0.5,0.5,0.05,-9.221879595107967e-10,8.481488818101237e-11,0.10294117647058824,0.031195887405288864,3
9,1.0,1.0,0.1,8.999999997320906,2.2305914546090227e-10,0.10294117647058824,0.031195887405288864,3
9,1.0,1.0,0.05,8.999999998660451,1.1152904603716512e-10,0.10294117647058824,0.031195887405288864,3
6,0.5,2.0,0.1,-2.6080709729054765e-09,7.444553828635467e-11,0.10256410256410257,0.0725237724293895,3
6,0.5,1.0,0.1,-1.742428804423561e-09,1.1356114512356035e-10,0.10256410256410257,0.0725237724293895,3
6,0.5,0.5,0.1,-1.384692957219694e-09,1.645982448765998e-10,0.10256410256410257,0.0725237724293895,3
6,0.5,2.0,0.05,-1.3040353014155675e-09,3.7223011842447376e-11,0.10256410256410257,0.0725237724293895,3
6,0.5,1.0,0.05,-8.71214272685761e-10,5.678049920319265e-11,0.10256410256410257,0.0725237724293895,3
6,0.5,0.5,0.05,-6.923463490838275e-10,8.229897836512177e-11,0.10256410256410257,0.0725237724293895,3
6,1.0,2.0,0.1,5.999999997159169,7.727174561822277e-11,0.10256410256410257,0.0725237724293895,3
6,1.0,1.0,0.1,5.999999997974942,1.977488321025999e-10,0.10256410256410257,0.0725237724293895,3
6,1.0,0.5,0.1,5.999999998275851,1.886577467772783e-10,0.10256410256410257,0.0725237724293895,3
6,1.0,2.0,0.05,5.999999998579585,3.8635461364560085e-11,0.10256410256410257,0.0725237724293895,3
6,1.0,1.0,0.05,5.99999999898747,9.887399882763388e-11,0.10256410256410257,0.0725237724293895,3
6,1.0,0.5,0.05,5.999999999137927,9.432845951340515e-11,0.10256410256410257,0.0725237724293895,3
6,2.0,2.0,0.1,17.99999999651515,2.431040797527119e-10,0.10256410256410257,0.0725237724293895,3
6,2.0,1.0,0.1,17.999999997179476,2.6501581659841445e-10,0.10256410256410257,0.0725237724293895,3
6,2.0,0.5,0.1,17.999999997403915,2.040804457998808e-10,0.10256410256410257,0.0725237724293895,3
6,2.0,2.0,0.05,17.999999998257575,1.2154972427001515e-10,0.10256410256410257,0.0725237724293895,3
6,2.0,1.0,0.05,17.99999999858974,1.3250784339221631e-10,0.10256410256410257,0.0725237724293895,3
6,2.0,0.5,0.05,17.999999998701956,1.0203966991877254e-10,0.10256410256410257,0.0725237724293895,3
9,1.0,2.0,0.1,8.999999996298882,1.2316726269187106e-10,0.08333333333333333,0.05892556509887896,3
9,1.0,2.0,0.05,8.999999998149441,6.15836983443108e-11,0.08333333333333333,0.05892556509887896,3
